銀行,第一類帳戶,第二類帳戶,第三類帳戶,合計,年份,季度,年季,年月,類型
渣打國際商業銀行,"4,446",810,"4,936","10,192",2020,Q1,2020-Q1,Mar-20,民營銀行
台中商業銀行,0,126,0,126,2020,Q1,2020-Q1,Mar-20,民營銀行
京城商業銀行,0,0,"1,422","1,422",2020,Q1,2020-Q1,Mar-20,民營銀行
瑞興商業銀行,0,0,15,15,2020,Q1,2020-Q1,Mar-20,民營銀行
華泰商業銀行,16,0,41,57,2020,Q1,2020-Q1,Mar-20,民營銀行
臺灣新光商業銀行,"1,131","1,609","2,953","5,693",2020,Q1,2020-Q1,Mar-20,民營銀行
陽信商業銀行,698,875,0,"1,573",2020,Q1,2020-Q1,Mar-20,民營銀行
板信商業銀行,0,20,0,20,2020,Q1,2020-Q1,Mar-20,民營銀行
聯邦商業銀行,"21,478",0,"67,292","88,770",2020,Q1,2020-Q1,Mar-20,民營銀行
遠東國際商業銀行,64,"1,269","3,830","5,163",2020,Q1,2020-Q1,Mar-20,民營銀行
元大商業銀行,8,104,227,339,2020,Q1,2020-Q1,Mar-20,民營銀行
永豐商業銀行,"92,665","84,343","194,608","371,616",2020,Q1,2020-Q1,Mar-20,民營銀行
玉山商業銀行,"30,939",0,"17,208","48,147",2020,Q1,2020-Q1,Mar-20,民營銀行
凱基商業銀行,529,0,0,529,2020,Q1,2020-Q1,Mar-20,民營銀行
星展(台灣)商業銀行,0,0,"13,521","13,521",2020,Q1,2020-Q1,Mar-20,民營銀行
台新國際商業銀行,"771,859","445,978","770,078","1,987,915",2020,Q1,2020-Q1,Mar-20,民營銀行
日盛國際商業銀行,0,55,64,119,2020,Q1,2020-Q1,Mar-20,民營銀行
安泰商業銀行,164,"1,248","1,480","2,892",2020,Q1,2020-Q1,Mar-20,民營銀行
中國信託商業銀行,"14,329","40,901","29,921","85,151",2020,Q1,2020-Q1,Mar-20,民營銀行
臺灣銀行,456,378,0,834,2019,Q4,2019-Q4,Dec-19,公股行庫
臺灣土地銀行,208,117,0,325,2019,Q4,2019-Q4,Dec-19,公股行庫
合作金庫商業銀行,"8,426","12,181",0,"20,607",2019,Q4,2019-Q4,Dec-19,公股行庫
第一商業銀行,"3,218","107,700","24,150","135,068",2019,Q4,2019-Q4,Dec-19,公股行庫
