銀行,第一類帳戶,第二類帳戶,第三類帳戶,合計,年份,季度,年季,年月,類型
國泰世華商業銀行,112273,266452,1180,379905,2019,Q3,2019-Q3,Sep-19,民營銀行
兆豐國際商業銀行,16273,19642,17765,53680,2019,Q3,2019-Q3,Sep-19,公股行庫
花旗(台灣)商業銀行,1342,0,0,1342,2019,Q3,2019-Q3,Sep-19,民營銀行
王道商業銀行,67194,0,317957,385151,2019,Q3,2019-Q3,Sep-19,民營銀行
臺灣中小企業銀行,884,4217,0,5101,2019,Q3,2019-Q3,Sep-19,公股行庫
渣打國際商業銀行,4118,621,1816,6555,2019,Q3,2019-Q3,Sep-19,民營銀行
台中商業銀行,0,127,0,127,2019,Q3,2019-Q3,Sep-19,民營銀行
臺灣新光商業銀行,878,1480,1850,4208,2019,Q3,2019-Q3,Sep-19,民營銀行
陽信商業銀行,482,744,0,1226,2019,Q3,2019-Q3,Sep-19,民營銀行
板信商業銀行,0,20,0,20,2019,Q3,2019-Q3,Sep-19,民營銀行
聯邦商業銀行,1612,0,4715,6327,2019,Q3,2019-Q3,Sep-19,民營銀行
遠東國際商業銀行,0,517,1224,1741,2019,Q3,2019-Q3,Sep-19,民營銀行
元大商業銀行,8,95,167,270,2019,Q3,2019-Q3,Sep-19,民營銀行
永豐商業銀行,27358,1146,88890,117394,2019,Q3,2019-Q3,Sep-19,民營銀行
玉山商業銀行,14743,0,7357,22100,2019,Q3,2019-Q3,Sep-19,民營銀行
凱基商業銀行,539,0,0,539,2019,Q3,2019-Q3,Sep-19,民營銀行
星展(台灣)商業銀行,0,0,12577,12577,2019,Q3,2019-Q3,Sep-19,民營銀行
台新國際商業銀行,628145,345801,605968,1579914,2019,Q3,2019-Q3,Sep-19,民營銀行
日盛國際商業銀行,0,45,66,111,2019,Q3,2019-Q3,Sep-19,民營銀行
安泰商業銀行,2,184,2,188,2019,Q3,2019-Q3,Sep-19,民營銀行
中國信託商業銀行,11800,9013,13832,34645,2019,Q3,2019-Q3,Sep-19,民營銀行
